"cont","iso3","Mean","Sd","CI_low","CI_high"
"Africa","AGO",-0.553,0.0556,-0.67,-0.449
"Africa","BDI",-0.472,0.0509,-0.585,-0.372
"Africa","BEN",-0.595,0.201,-1.16,-0.502
"Africa","CAF",-0.329,0.077,-0.481,-0.18
"Africa","CIV",-0.179,0.064,-0.297,-0.0474
"Africa","CMR",-0.787,0.0584,-0.897,-0.678
"Africa","COD",-0.517,0.0268,-0.571,-0.464
"Africa","COG",-1.12,0.0696,-1.28,-0.997
"Africa","COM",-0.131,0.0318,-0.192,-0.0643
"Africa","ETH",NA,NA,NA,NA
"Africa","GAB",-0.843,0.0504,-0.944,-0.752
"Africa","GHA",-0.225,0.0384,-0.302,-0.154
"Africa","GIN",-0.106,0.0357,-0.176,-0.0393
"Africa","GNB",NA,NA,NA,NA
"Africa","GNQ",-0.738,0.0368,-0.811,-0.664
"Africa","KEN",-0.729,0.0629,-0.864,-0.612
"Africa","LBR",-0.394,0.0466,-0.482,-0.306
"Africa","MDG",NA,NA,NA,NA
"Africa","MUS",-0.0574,0.0217,-0.0991,-0.0127
"Africa","MWI",-0.46,0.0564,-0.576,-0.353
"Africa","MYT",NA,NA,NA,NA
"Africa","NGA",-0.819,0.0791,-0.973,-0.665
"Africa","REU",NA,NA,NA,NA
"Africa","RWA",-0.721,0.0469,-0.82,-0.636
"Africa","SLE",-0.168,0.0375,-0.248,-0.0988
"Africa","SSD",-0.994,0.0919,-1.16,-0.805
"Africa","TGO",-0.0548,0.0793,-0.212,0.095
"Africa","TZA",-0.602,0.0698,-0.748,-0.474
"Africa","UGA",-0.0284,0.0492,-0.133,0.058
"Africa","ZMB",-0.58,0.118,-0.784,-0.336
"America","BHS",NA,NA,NA,NA
"America","BLZ",-0.423,0.0885,-0.615,-0.257
"America","BOL",-0.432,0.0427,-0.521,-0.348
"America","BRB",-0.0379,0.0369,-0.11,0.0349
"America","COL",-0.452,0.121,-0.638,-0.229
"America","CRI",-0.213,0.0495,-0.306,-0.115
"America","CUB",NA,NA,NA,NA
"America","DMA",NA,NA,NA,NA
"America","DOM",NA,NA,NA,NA
